Segmento,T,X,Y
SJC,"0,000","-54,19","-4,94"
STYL,"0,000","-30,47","-234,24"
SJC,"0,433","-56,17","-2,97"
STYL,"0,433","24,88","-212,49"
SJC,"0,867","-58,14","-2,97"
STYL,"0,867","76,27","-169,01"
SJC,"1,400","-60,12","0,99"
STYL,"1,400","123,71","-105,75"
SJC,"1,967","-66,05","6,92"
STYL,"1,967","135,57","8,90"
SJC,"2,400","-66,05","8,90"
STYL,"2,400","125,69","74,13"
SJC,"2,833","-68,03","10,87"
STYL,"2,833","86,15","131,45"
SJC,"3,367","-66,05","24,71"
STYL,"3,367","32,78","172,96"
SJC,"3,800","-71,98","20,76"
STYL,"3,800","-24,54","192,73"
SJC,"4,267","-73,96","16,80"
STYL,"4,267","-85,82","206,56"
SJC,"4,633","-77,91","22,73"
STYL,"4,633","-111,52","202,61"
