Segmento,T,X,Y
SJC 1,"0,000","-56,17","-4,94"
STYL 1,"0,000","-24,54","-216,45"
STYL 2,"0,667","3,13","-226,33"
SJC 2,"0,667","-50,24","-10,87"
SJC 3,"0,733","-48,26","-12,85"
STYL 3,"0,733","52,55","-192,73"
SJC 4,"0,767","-52,21","-10,87"
STYL 4,"0,767","86,15","-165,05"
SJC 5,"0,800","-50,24","-12,85"
STYL 5,"0,800","115,80","-127,50"
SJC 6,"0,833","-52,21","2,97"
STYL 6,"0,833","135,57","-76,10"
SJC 7,"0,867","-54,19","10,87"
STYL 7,"0,867","151,38","-26,69"
SJC 8,"0,867","-56,17","12,85"
STYL 8,"0,900","149,41","22,73"
SJC 9,"0,933","-56,17","24,71"
STYL 9,"0,933","137,55","74,13"
SJC 10,"0,933","-58,14","22,73"
STYL 10,"0,967","117,78","113,66"
SJC 11,"0,967","-60,12","24,71"
STYL 11,"1,000","88,13","143,31"
SJC 12,"1,033","-66,05","26,69"
STYL 12,"1,033","62,43","165,05"
SJC 13,"1,033","-68,03","28,66"
STYL 13,"1,067","34,76","178,89"
SJC 14,"1,100","-66,05","30,64"
STYL 14,"1,100","3,13","192,73"
